id,random ID,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,old_decisiontype,BC,DecisionType,Identifier,Content,Size,Structure,Run
3,19315.0,hashtag,35,incident,4.0,0.0,nuclear,2.0,earthquake,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,36,incident,3.0,0.0,incident,1.0,earthquake,earthquake,RS,C,RS,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,37,earthquake,6.0,0.0,incident,5.0,earthquake,tsunami,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,38,earthquake,7.0,0.0,earthquake,1.0,tsunami,radiation,RS,C,RS,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,39,radiation,2.0,0.0,earthquake,5.0,radiation,earthquake,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,40,nuclear,8.0,0.0,radiation,2.0,earthquake,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,1,disaster,7.0,1.0,nan,2.0,,disaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,2,earthquake,10.0,0.0,disaster,3.0,disaster,energy,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,3,electricity,2.0,0.0,earthquake,6.0,energy,help,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,4,nuclear,10.0,0.0,electricity,3.0,help,publicconcern,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,5,casualty,2.0,0.0,nuclear,2.0,publicconcern,emergency,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,6,support,6.0,0.0,casualty,5.0,emergency,powerplant,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,7,leakage,8.0,0.0,support,2.0,powerplant,tsunami,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,8,accident,7.0,0.0,leakage,2.0,tsunami,setsuden,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,9,2011,1.0,0.0,accident,2.0,setsuden,danger,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,10,risk,1.0,0.0,2011,3.0,danger,coastline,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,11,ocean,5.0,0.0,risk,2.0,coastline,thyroidcancer,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,12,radiation,10.0,0.0,ocean,5.0,thyroidcancer,earthquake,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,13,energy,1.0,0.0,radiation,2.0,earthquake,radiation,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,14,energy,9.0,0.0,energy,2.0,radiation,saveenergy,RS,C,RS,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,15,energy,2.0,0.0,energy,5.0,saveenergy,earthquake,RS,C,RS,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,16,energy,7.0,0.0,energy,2.0,earthquake,tsunami,RS,C,RS,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,17,earthquake,9.0,0.0,energy,6.0,tsunami,hospital,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,18,help,7.0,0.0,earthquake,6.0,hospital,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,19,earthquake,5.0,0.0,help,5.0,earthquake,tragedy,RP,C,RP,h20s1,Hashtag,20,Spatial,1
4,36697.0,hashtag,20,support,10.0,0.0,earthquake,5.0,tragedy,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
